0.2.1.3.0.0.0.3.3;0.2.1.3.0.0.0.3.3.2;1100 / 1100;0
0.2.1.3.0.0.0.3.3;0.2.1.3.0.0.0.3.3.3;900 / 900;0
0.2.1.3.0.0.0.3.3;0.2.1.3.0.0.0.3.3.4;600 / 600;0
0.2.1.3.0.0.0.3.3;0.2.1.3.0.0.0.3.3.5;900 / 900;0
0.2.1.3.0.0.0.3.3;0.2.1.3.0.0.0.3.3.6;500 / 500;0
0.2.1.3.0.0.0.3.3;0.2.1.3.0.0.0.3.3.7;500 / 500;0
0.2.1.3.0.0.0.3.4;0.2.1.3.0.0.0.3.4.0;800 / 800;0
0.2.1.3.0.0.0.3.4;0.2.1.3.0.0.0.3.4.1;800 / 800;0
0.2.1.3.0.0.0.3.4;0.2.1.3.0.0.0.3.4.2;1300 / 1300;0
0.2.1.3.0.0.0.3.4;0.2.1.3.0.0.0.3.4.3;800 / 800;0
0.2.1.3.0.0.0.3.4;0.2.1.3.0.0.0.3.4.4;400 / 400;0
0.2.1.3.0.0.0.3.4;0.2.1.3.0.0.0.3.4.5;600 / 600;0
0.2.1.3.0.0.0.3.4;0.2.1.3.0.0.0.3.4.6;600 / 600;0
0.2.1.3.0.0.0.3.4;0.2.1.3.0.0.0.3.4.7;500 / 500;0
0.2.1.3.0.0.0.4.0;0.2.1.3.0.0.0.4.0.0;700 / 700;0
0.2.1.3.0.0.0.4.0;0.2.1.3.0.0.0.4.0.1;1000 / 1000;0
0.2.1.3.0.0.0.4.0;0.2.1.3.0.0.0.4.0.2;500 / 500;0
0.2.1.3.0.0.0.4.0;0.2.1.3.0.0.0.4.0.3;1400 / 1400;0
0.2.1.3.0.0.0.4.0;0.2.1.3.0.0.0.4.0.4;400 / 400;0
0.2.1.3.0.0.0.4.0;0.2.1.3.0.0.0.4.0.5;700 / 700;0
0.2.1.3.0.0.0.4.0;0.2.1.3.0.0.0.4.0.6;800 / 800;0
0.2.1.3.0.0.0.4.0;0.2.1.3.0.0.0.4.0.7;700 / 700;0
0.2.1.3.0.0.0.4.1;0.2.1.3.0.0.0.4.1.0;500 / 500;0
0.2.1.3.0.0.0.4.1;0.2.1.3.0.0.0.4.1.1;600 / 600;0
0.2.1.3.0.0.0.4.1;0.2.1.3.0.0.0.4.1.2;800 / 800;0
0.2.1.3.0.0.0.4.1;0.2.1.3.0.0.0.4.1.3;900 / 900;0
0.2.1.3.0.0.0.4.1;0.2.1.3.0.0.0.4.1.4;900 / 900;0
